filename,width,height,class,xmin,ymin,xmax,ymax
1#01AAS545#05062020#104312.jpg,212,37,car plate,824,639,1036,676
1#01ACB811#06062020#032814.jpg,201,33,car plate,794,623,995,656
1#01AEE23#07062020#141248.jpg,136,27,car plate,477,596,613,623
1#01AU833#08062020#142446.jpg,156,25,car plate,522,601,678,626
1#01AZJ34#06062020#032800.jpg,211,34,car plate,750,598,961,632
1#01BAL01#06062020#002929.jpg,208,33,car plate,724,584,932,617
1#01BKA89#07062020#122513.jpg,121,27,car plate,477,601,598,628
1#01BM391#03062020#130019 .jpg,197,37,car plate,525,565,722,602
1#01EGV17#06062020#000638.jpg,232,38,car plate,723,622,955,660
1#01EMB16#06062020#032820.jpg,205,34,car plate,620,576,825,610
1#01GM781#03062020#125232 .jpg,205,37,car plate,641,589,846,626
1#01JS776#03062020#165552.jpg,134,27,car plate,758,569,892,596
1#01LC033#03062020#124251 .jpg,198,33,car plate,400,580,598,613
1#01SR010#08062020#015730.jpg,130,26,car plate,668,566,798,592
1#01SR010#08062020#071431.jpg,130,25,car plate,668,566,798,591
1#01V9104#08062020#050207.jpg,144,26,car plate,697,617,841,643
1#01YS031#08062020#135536.jpg,150,24,car plate,723,571,873,595
1#02AAY389#07062020#152413.jpg,81,25,car plate,658,579,739,604
1#02FL632#03062020#165322.jpg,135,33,car plate,440,613,575,646
1#02ZA240#03062020#171314.jpg,167,26,car plate,589,587,756,613
1#03AAD05#08062020#011024.jpg,142,25,car plate,1008,624,1150,649
1#03AAD05#08062020#062725.jpg,142,26,car plate,1008,623,1150,649
1#03AAD361#07062020#134206.jpg,104,25,car plate,527,603,631,628
1#03AAE171#07062020#142357.jpg,95,27,car plate,503,609,598,636
1#03AAE762#08062020#064053.jpg,72,25,car plate,674,621,746,646
1#03AAG315#08062020#145318.jpg,156,29,car plate,1003,658,1159,687
1#03AAH950#08062020#032612.jpg,134,26,car plate,604,584,738,610
1#03AAP280#08062020#054549.jpg,134,26,car plate,735,622,869,648
1#03AAP284#08062020#053647.jpg,83,24,car plate,672,628,755,652
1#03AAP467#08062020#025356.jpg,141,26,car plate,679,609,820,635
1#03AAT455#07062020#121209.jpg,133,29,car plate,679,609,812,638
1#03AAU362#08062020#201948.jpg,156,24,car plate,793,625,949,649
1#03AAV362#08062020#205751.jpg,162,28,car plate,494,556,656,584
1#03AAV502#08062020#043420.jpg,142,25,car plate,900,611,1042,636
1#03AAY997#07062020#153805.jpg,135,28,car plate,631,617,766,645
1#03AB485#07062020#195721.jpg,91,24,car plate,1100,613,1191,637
1#03ABD265#08062020#210003.jpg,145,23,car plate,682,526,827,549
1#03ABE515#07062020#112842.jpg,135,26,car plate,760,593,895,619
1#03ABE727#08062020#052053.jpg,135,29,car plate,642,605,777,634
