index,path,x,y,width,height
0,1#01AAS545#05062020#104312.jpg,824,639,212,37
1,1#01ACB811#06062020#032814.jpg,794,623,201,33
2,1#01AEE23#07062020#141248.jpg,477,596,136,27
3,1#01AU833#08062020#142446.jpg,522,601,156,25
4,1#01AZJ34#06062020#032800.jpg,750,598,211,34
5,1#01BAL01#06062020#002929.jpg,724,584,208,33
6,1#01BKA89#07062020#122513.jpg,477,601,121,27
7,1#01BM391#03062020#130019 .jpg,525,565,197,37
8,1#01EGV17#06062020#000638.jpg,723,622,232,38
9,1#01EMB16#06062020#032820.jpg,620,576,205,34
10,1#01GM781#03062020#125232 .jpg,641,589,205,37
11,1#01JS776#03062020#165552.jpg,758,569,134,27
12,1#01LC033#03062020#124251 .jpg,400,580,198,33
13,1#01SR010#08062020#015730.jpg,668,566,130,26
14,1#01SR010#08062020#071431.jpg,668,566,130,25
15,1#01V9104#08062020#050207.jpg,697,617,144,26
16,1#01YS031#08062020#135536.jpg,723,571,150,24
17,1#02AAY389#07062020#152413.jpg,658,579,81,25
18,1#02FL632#03062020#165322.jpg,440,613,135,33
19,1#02ZA240#03062020#171314.jpg,589,587,167,26
20,1#03AAD05#08062020#011024.jpg,1008,624,142,25
21,1#03AAD05#08062020#062725.jpg,1008,623,142,26
22,1#03AAD361#07062020#134206.jpg,527,603,104,25
23,1#03AAE171#07062020#142357.jpg,503,609,95,27
24,1#03AAE762#08062020#064053.jpg,674,621,72,25
25,1#03AAG315#08062020#145318.jpg,1003,658,156,29
26,1#03AAH950#08062020#032612.jpg,604,584,134,26
27,1#03AAP280#08062020#054549.jpg,735,622,134,26
28,1#03AAP284#08062020#053647.jpg,672,628,83,24
29,1#03AAP467#08062020#025356.jpg,679,609,141,26
30,1#03AAT455#07062020#121209.jpg,679,609,133,29
31,1#03AAU362#08062020#201948.jpg,793,625,156,24
32,1#03AAV362#08062020#205751.jpg,494,556,162,28
33,1#03AAV502#08062020#043420.jpg,900,611,142,25
34,1#03AAY997#07062020#153805.jpg,631,617,135,28
35,1#03AB485#07062020#195721.jpg,1100,613,91,24
36,1#03ABD265#08062020#210003.jpg,682,526,145,23
37,1#03ABE515#07062020#112842.jpg,760,593,135,26
38,1#03ABE727#08062020#052053.jpg,642,605,135,29
39,1#03ABG246#07062020#150029.jpg,575,614,135,26
40,1#03ABH068#07062020#132349.jpg,600,609,131,27
41,1#03ABH208#08062020#044621.jpg,650,604,140,25
42,1#03ABL167#07062020#025024.jpg,100,596,88,23
43,1#03ABP529#08062020#052857.jpg,498,565,50,23
44,1#03ABR344#07062020#213525.jpg,811,595,88,20
45,1#03ABS096#08062020#172105.jpg,530,554,150,26
46,1#03ABS096#08062020#191107.jpg,525,600,156,27
47,1#03ABS59#08062020#062413.jpg,766,597,134,25
48,1#03ABS658#07062020#123221.jpg,615,624,120,26
49,1#03ABT574#07062020#112647.jpg,888,567,129,26
50,1#03ABT667#08062020#133013.jpg,985,510,140,27
